Planet,SignsAndHouses,Positives,Negatives
Sun,Aries,"bold,pioneering,confident","impulsive,aggressive,impatient"
Sun,Taurus,"steady,grounded,loyal","stubborn,possessive,inflexible"
Sun,Gemini,"curious,adaptable,witty","scattered,restless,superficial"
Sun,Cancer,"nurturing,intuitive,protective","moody,clingy,defensive"
Sun,Leo,"generous,creative,warm","proud,dramatic,domineering"
Sun,Virgo,"analytical,practical,helpful","critical,anxious,perfectionist"
Sun,Libra,"diplomatic,fair,charming","indecisive,people-pleasing,superficial"
Sun,Scorpio,"intense,passionate,loyal","jealous,secretive,controlling"
Sun,Sagittarius,"adventurous,optimistic,philosophical","reckless,blunt,restless"
Sun,Capricorn,"disciplined,ambitious,responsible","rigid,pessimistic,cold"
Sun,Aquarius,"innovative,humanitarian,original","detached,rebellious,aloof"
Sun,Pisces,"compassionate,imaginative,empathic","escapist,confused,overwhelmed"
Moon,Aries,"emotionally-direct,courageous","reactive,hot-tempered"
Moon,Taurus,"emotionally-stable,comforting","resistant,indulgent"
Moon,Gemini,"communicative,playful","inconsistent,anxious"
Moon,Cancer,"deeply-caring,sensitive","moody,insecure"
Moon,Leo,"expressive,affectionate","attention-seeking,prideful"
Moon,Virgo,"thoughtful,discerning","worried,self-critical"
Moon,Libra,"harmonious,considerate","codependent,avoidant"
Moon,Scorpio,"profound,devoted","brooding,suspicious"
Moon,Sagittarius,"free-spirited,enthusiastic","avoidant,restless"
Moon,Capricorn,"resilient,self-reliant","emotionally-guarded,cold"
Moon,Aquarius,"independent,unconventional","emotionally-detached,aloof"
Moon,Pisces,"empathic,dreamy","overwhelmed,evasive"
