Planet,SignsAndHouses,Positives,Negatives
Sun,Aries,"bold,pioneering,confident","impulsive,aggressive,impatient"
Sun,Taurus,"steady,grounded,loyal","stubborn,possessive,inflexible"
Sun,Gemini,"curious,adaptable,witty","scattered,restless,superficial"
Sun,Cancer,"nurturing,intuitive,protective","moody,clingy,defensive"
Sun,Leo,"generous,creative,warm","proud,dramatic,domineering"
Sun,Virgo,"analytical,practical,helpful","critical,anxious,perfectionist"
Sun,Libra,"diplomatic,fair,charming","indecisive,people-pleasing,superficial"
Sun,Scorpio,"intense,passionate,loyal","jealous,secretive,controlling"
Sun,Sagittarius,"adventurous,optimistic,philosophical","reckless,blunt,restless"
Sun,Capricorn,"disciplined,ambitious,responsible","rigid,pessimistic,cold"
Sun,Aquarius,"innovative,humanitarian,original","detached,rebellious,aloof"
Sun,Pisces,"compassionate,imaginative,empathic","escapist,confused,overwhelmed"
Moon,Aries,"emotionally-direct,courageous,spontaneous","reactive,hot-tempered,impatient"
Moon,Taurus,"emotionally-stable,comforting,sensual","resistant,indulgent,possessive"
Moon,Gemini,"communicative,playful,mentally-agile","inconsistent,anxious,overthinking"
Moon,Cancer,"deeply-caring,sensitive,empathic","moody,insecure,clingy"
Moon,Leo,"expressive,affectionate,warm-hearted","attention-seeking,prideful,dramatic"
Moon,Virgo,"thoughtful,discerning,service-oriented","worried,self-critical,fussy"
Moon,Libra,"harmonious,considerate,romantic","codependent,avoidant,indecisive"
Moon,Scorpio,"profound,devoted,perceptive","brooding,suspicious,jealous"
Moon,Sagittarius,"free-spirited,enthusiastic,philosophical","avoidant,restless,commitment-shy"
Moon,Capricorn,"resilient,self-reliant,disciplined","emotionally-guarded,cold,rigid"
Moon,Aquarius,"independent,unconventional,humanitarian","emotionally-detached,aloof,unpredictable"
Moon,Pisces,"empathic,dreamy,compassionate","overwhelmed,evasive,escapist"
Mercury,Aries,"quick-thinking,decisive,direct","hasty,argumentative,blunt"
Mercury,Taurus,"deliberate,practical,grounded","slow-to-decide,stubborn,fixed"
Mercury,Gemini,"brilliant,articulate,versatile","scattered,gossipy,superficial"
Mercury,Cancer,"intuitive-thinker,retentive,empathic","biased,moody,defensive"
Mercury,Leo,"dramatic-speaker,creative-thinker,confident","arrogant,boastful,dogmatic"
Mercury,Virgo,"precise,analytical,detail-oriented","critical,overthinking,nitpicking"
Mercury,Libra,"balanced,diplomatic,fair-minded","indecisive,passive,evasive"
Mercury,Scorpio,"penetrating,investigative,strategic","suspicious,obsessive,secretive"
Mercury,Sagittarius,"visionary,philosophical,inspiring","preachy,exaggerating,careless"
Mercury,Capricorn,"structured,methodical,realistic","pessimistic,rigid,overly-serious"
Mercury,Aquarius,"inventive,progressive,open-minded","contrarian,eccentric,detached"
Mercury,Pisces,"poetic,intuitive,imaginative","confused,vague,absent-minded"
Venus,Aries,"passionate,spontaneous,exciting","selfish-in-love,combative,impatient"
Venus,Taurus,"devoted,sensual,affectionate","possessive,jealous,materialistic"
Venus,Gemini,"playful,social,intellectually-charming","flirtatious,non-committal,fickle"
Venus,Cancer,"nurturing,devoted,sentimental","clingy,smothering,insecure"
Venus,Leo,"romantic,generous,loyal","vain,demanding,attention-hungry"
Venus,Virgo,"thoughtful,attentive,modest","critical,reserved,overthinking"
Venus,Libra,"graceful,harmonious,loving","codependent,superficial,conflict-avoidant"
Venus,Scorpio,"magnetic,deeply-loving,transformative","jealous,controlling,obsessive"
Venus,Sagittarius,"adventurous-lover,fun,open","commitment-phobic,restless,tactless"
Venus,Capricorn,"loyal,devoted,traditional","cold,status-driven,repressed"
Venus,Aquarius,"unique,freedom-loving,progressive","emotionally-distant,unpredictable,aloof"
Venus,Pisces,"unconditionally-loving,romantic,selfless","idealistic,codependent,escapist"
Mars,Aries,"courageous,energetic,driven","aggressive,reckless,combative"
Mars,Taurus,"persistent,strong-willed,steady","lazy,stubborn,inflexible"
Mars,Gemini,"versatile,clever,quick-acting","scattered,nervous,inconsistent"
Mars,Cancer,"protective,tenacious,emotionally-driven","passive-aggressive,moody,defensive"
Mars,Leo,"confident,passionate,inspiring","arrogant,domineering,dramatic"
Mars,Virgo,"efficient,productive,precise","critical,uptight,anxious"
Mars,Libra,"fair,strategic,cooperative","indecisive,passive,conflict-avoidant"
Mars,Scorpio,"powerful,focused,transformative","vindictive,controlling,obsessive"
