"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"1","360.0","360° 00' 00""","Conjunction","No","1","Identity-fusion of all planets; the chart's overall focus and unity (Addey/Cochrane). Vedic D1 = master life template.","Direct union / arrival; planet enters the same field of expression.","Monad, unity, the undivided source (Addey).","Sourced — Addey/Cochrane/BPHS"
"2","180.0","180° 00' 00""","Opposition","Yes","2","Polarity, confrontation, mirroring. 'Inclines toward relating to others because of polarizing and objectifying tendencies' (Cochrane/Godefrey). Vedic D2 Hora = wealth.","Face-off, full-moon tension demanding integration.","Duality, dialectic, the Other (Hamblin).","Sourced — Cochrane/Hamblin/Godefrey/BPHS"
"3","120.0","120° 00' 00""","Trine","Yes","3","Natural talent, easy flow. 'A naturalness and smoothness... as if planets are on ice and slide towards their destination' (Brady/Cochrane). Vedic D3 Drekkana = siblings, courage.","Lubrication, smooth opportunity; can slide toward indulgence (Brady).","Equilibrium, gestalt, the harmonious triangle (Hamblin).","Sourced — Addey/Brady/Cochrane/BPHS"
"4","90.0","90° 00' 00""","Square","No","2^2","'Shows how we deal with stress, strain, and struggle' (Marks). 'Basic challenges and things the person wishes to achieve' (Cochrane). Vedic D4 Chaturthamsa = property, fortune.","Crisis-in-action, call for decision, structural pressure.","Matter, the cross, four-element manifestation (Addey).","Sourced — Marks/Cochrane/Godefrey/BPHS"
"5","72.0","72° 00' 00""","Quintile","Yes","5","'Making, arranging, building, constructing, structuring, forming' (Addey/Hamblin). 'Fascination and playful enjoyment of curved, non-linear, lively forms' (Cochrane 2012).","Bursts of creative shaping; opportunities to impose form on chaos.","The pentagon, the golden ratio, conscious will and creative form (Addey).","Sourced — Addey/Hamblin/Cochrane"
"6","60.0","60° 00' 00""","Sextile","No","2 × 3","'Rhythmic activity and the practice of art' (Addey). 'Pleasant and easy sharing with others' (Cochrane). Productive practice of gifts.","Easy opportunity requiring small initiative; pleasant exchange.","Outward expression of joy, communicative flow — 3 made manifest through 2 (Hamblin).","Sourced — Addey/Cochrane/Hamblin"
"7","51.428571","51° 25' 43""","Septile","Yes","7","'Man's highest flights of creative imagination, and his lowest depths of destructive illusion' (Hamblin). Fated unconscious compulsion, inspiration. Rudhyar: 'acts compelled by a collective need, an occult power or fate.'","Fated encounters, synchronicities, providence; 'Deus ex machina' timing.","'A romantic number — not of permanence but of transience; not of truth but of sudden flashes of light and darkness' (Hamblin).","Sourced — Addey/Hamblin/Rudhyar/Cochrane"
"8","45.0","45° 00' 00""","Semi-square / Octile","No","2^3","'Hard aspect, motivating. Inner need or drive' (Cochrane). Primary Uranian/Cosmobiology dial — friction drives concrete action (Ebertin).","The prod, the goad; small but persistent friction demanding response.","Doubled cross — material struggle intensified into productive action (Ebertin/Cochrane).","Sourced — Cochrane/Ebertin/Uranian tradition"
"9","40.0","40° 00' 00""","Novile","No","3^2","'Capacity for joy and happiness... the fruit of one's labour' (Hamblin/Addey). 'The chart of the soul mate and the soul itself' (Jay). Vedic D9 Navamsa = marriage, dharma, fruit of all planetary promises.","Initiation, ripening; the fruit dropping from the tree (Portman/Jay).","3³, perfection of threeness, completion of a cycle (Hamblin/Addey).","Sourced — Addey/Hamblin/Jay/Harding-Harvey/BPHS"
"10","36.0","36° 00' 00""","Decile / Semi-quintile","No","2 × 5","'Small creative aspect; helps transmute idea into concrete form. Common among reformers' (Cochrane/Godefrey). Vedic D10 Dasamsa = career, public standing.","Opportunities to publicize; creative idea reaching the marketplace.","Completeness of form (Pythagorean decad) — creative power integrated with relational reality.","Sourced — Cochrane/Godefrey/BPHS"
"11","32.727273","32° 43' 38""","Undecile","Yes","11","'Excess, double-binds; deep internal longing, steadily burning obsessive dream' (Hamblin/Seymour-Smith). 'Innovative and impatient, inclined to music and dance' (Cochrane).","Restlessness, unable to sit still, hungering for novelty.","First prime beyond the duodecimal grid — the irruption of the new (Hamblin).","Sourced — Hamblin/Seymour-Smith/Cochrane/Williamsen"
"12","30.0","30° 00' 00""","Semi-sextile / Dodecile","No","2^2 × 3","'Combines soft (3) and hard (4). Basic resources available to the person' (Cochrane). Vedic D12 Dwadasamsa = parents, ancestry.","Subtle adjustment, the quincunx's either/or choice.","Zodiacal completeness, the ancestral framework (3 × 4) (Cochrane/Hamblin).","Sourced — Cochrane/Hamblin/BPHS"
"13","27.692308","27° 41' 32""","Tredecile","Yes","13","'The one among the twelve, suggests lordship' (Addey). 'Death and rebirth, transformation; sense of mission and purpose, feeling one must achieve something great or unique' (Marks/Godefrey). Ubiquitous in charts of geniuses (Partha).","Rupture and rebirth events; transformative encounters.","The thirteenth — lordship over the duodecimal whole; Scorpionic resonance (Addey).","Sourced — Addey/Marks/Godefrey/Cochrane"
"14","25.714286","25° 42' 51""","Quattuordecile","No","2 × 7","'Shared sense of inner discipline and focus' (Cochrane). Septile inspiration (7) pressure-tested by duality (2) — mysticism made socially functional.","Brief tests of spiritual/creative discipline.","Fated discipline — 7 doubled and confronted (Cochrane).","Sourced — Cochrane"
"15","24.0","24° 00' 00""","Quindecile (H15, 24°)","No","3 × 5","'Facility and ease in expressing oneself creatively' (Cochrane). NOTE: Tyl/Reeves use 'quindecile' for H24 (165°) — 'obsession, disruption, upheaval' — a separate aspect; naming dispute flagged by Holden.","Creative breakthroughs that flow naturally (H15); obsessive push if using Tyl/Reeves 165° convention.","3 × 5 — ease in form-making, creative grace (Cochrane).","Sourced — Cochrane/Tyl/Reeves (dual convention noted)"
"16","22.5","22° 30' 00""","Sixteenth / Semi-octile","No","2^4","'Hard aspects that motivate or stress; inner motivation not conspicuous from casual observation' (Cochrane/Uranian). 'Maximum concrete manifestation; open conflict from separateness' (Hamblin/Orr).","Pivotal stress points; separateness; dramatic effort.","2⁴ — maximum doubling of the cross; the unconscious cross (Cochrane/Uranian).","Sourced — Cochrane/Hamblin/Orr/Uranian tradition"
"17","21.176471","21° 10' 35""","Septendecile","Yes","17","'Non-linear way of thinking conducive to success in arts and literature. Acting and theatre often strong interests' (Cochrane). Those with strong H17 'are not consistently available to others.'","Encounters asking you to inhabit another's story; theatrical empathy activated.","Irreducible prime — non-linear narrative consciousness (Cochrane vibrational research).","Sourced — Cochrane (First 32 Harmonics)"
"18","20.0","20° 00' 00""","Vigintile","No","2 × 3^2","'Strong need to be part of a positive and harmonious community, to participate as an appreciated and respected member' (Cochrane). Dobyns: opposition in the 9th harmonic — struggle to attain enlightenment.","Tests of one's spiritual community; struggle to live one's bliss.","2 × 9 — joy of completion externalized/confronted (Cochrane/Dobyns).","Sourced — Cochrane/Dobyns"
"19","18.947368","18° 56' 51""","Novendecile","Yes","19","'Inclined to arts, literature, humanities; very abstract and cerebral... motivations can be difficult for more earth-bound minds to grasp' (Cochrane). Slightly more Mercurial than H17.","Ideas reorganized intellectually; abstract creative reconfiguration.","Prime — abstract narrative reasoning; cerebral re-configuration (Cochrane).","Sourced — Cochrane"
"20","18.0","18° 00' 00""","Semidecile / Vimsamsa","No","2^2 × 5","'Need to create things and work in a creative way; becomes easily bored by repetitive tasks' (Cochrane). Vedic D20 Vimsamsa = spiritual practices, upasana, religious devotion.","Bursts of creative production; spiritual practice deepening.","4 × 5 — creativity pressure-tested and made productive (Cochrane/BPHS).","Sourced — Cochrane/BPHS"
"21","17.142857","17° 08' 34""","Henavigintile","No","3 × 7","'Good focus and discipline; ability to develop excellent technique. Natural flow in a rigorous discipline; maturity and classical methods' (Cochrane). 7 × 3 = septile discipline + trine ease.","Technical breakthroughs in disciplined work.","Disciplined craft — the master-apprentice resonance (Cochrane).","Sourced — Cochrane"
"22","16.363636","16° 21' 49""","Duovigintile","No","2 × 11","'Restlessness, impatience, tendency to feel stifled by others' (Cochrane). 2 × 11 — the 11th harmonic's excess externalized into chafing against others.","Feeling smothered; wanting out.","Amplified Uranian excess — eleven doubled (Cochrane).","Sourced — Cochrane"
"23","15.652174","15° 39' 08""","Trevigintile","Yes","23","'Abstract thinking and interest in offbeat or unusual topics. Likes to try out unusual or novel configurations' (Cochrane — speculative caveat given).","Encounter with unusual ideas or people.","Prime — experimental novelty; first reconfiguration prime beyond 19 (Cochrane).","Sourced (speculative) — Cochrane"
"24","15.0","15° 00' 00""","Quattuorvigintile / Siddhamsa","No","2^3 × 3","'11/24 aspect: unrelenting headstrong determination, disruption, upheaval; obsessive-compulsive' (Cochrane/Reeves/Tyl). Vedic D24 Chaturvimsamsa = education, intellectual achievement.","'Bandit in the transit' — sudden obsessive push (Reeves/Tyl).","8 × 3 — pressured will meeting flow; the fatal-in-the-natal (Tyl/Reeves/Cochrane).","Sourced — Cochrane/Tyl/Reeves/BPHS"
"25","14.4","14° 24' 00""","Quinvigintile","No","5^2","'Exceptionally creative tendency; builds things outside usual accepted ways' (Cochrane/Hamblin). 5² — quintile doubled. Hamblin/Orr: prominent in charts of doctors.","Innovative creative outputs; unconventional professional breakthroughs.","5² — pure fiveness squared; the architect of forms (Cochrane/Hamblin).","Sourced — Cochrane/Hamblin/Orr"
"26","13.846154","13° 50' 46""","Sexvigintile","No","2 × 13","'Competitive drive, distaste for mediocre results. Overwhelming need to break through to new level of accomplishment' (Cochrane). 2 × 13 — Scorpionic transformation made interpersonal.","Confrontation with one's standards; push to break through.","Amplified transformational ambition (Cochrane).","Sourced — Cochrane"
"27","13.333333","13° 20' 00""","Septemvigintile / Bhamsa","No","3^3","'Deep need for peace and comfort. Strong pacifist tendency; becomes ill or distraught in inharmonious atmosphere' (Cochrane). Vedic D27 = character strengths and weaknesses.","Need for retreat, restoration, peaceful withdrawal.","3³ — highest octave of trine-ease and pacifist joy (Cochrane/BPHS).","Sourced — Cochrane/BPHS"
"28","12.857143","12° 51' 26""","Octovigintile","No","2^2 × 7","'Need for discipline and focus; tendency to feel stress and constrained. Intense focus to release tension' (Cochrane). 4 × 7 — septile inspiration meeting square-tension.","Tightening focus accompanied by anxiety.","Amplified fated discipline — 7 squared with structural pressure (Cochrane).","Sourced — Cochrane"
"29","12.413793","12° 24' 50""","Novemvigintile","Yes","29","'Interest in abstract ideas and unusual subjects; seeks alternative paradigms; constructive view that there are options to improve situations' (Cochrane). 'Can win people's hearts' (Cochrane class).","Encounter with worldview-altering ideas.","Prime — constructive paradigm reconfiguration; the optimistic innovator (Cochrane).","Sourced (speculative) — Cochrane"
"30","12.0","12° 00' 00""","Trigintile / Trimsamsa","No","2 × 3 × 5","'Good sensitivity and awareness of different styles; creates things others find comfortable and aesthetically pleasing' (Cochrane). Vedic D30 Trimsamsa = misfortunes and evils to overcome — the karmic stress chart.","Aesthetic encounters, tests of taste; karmic stress surfaces.","2 × 3 × 5 — full triadic synthesis of pressure, flow, and form (Cochrane/BPHS).","Sourced — Cochrane/BPHS"
"31","11.612903","11° 36' 46""","Unotrigintile","Yes","31","'Highly abstract ideas; sensitive to limits in philosophies and traditions; drawn to contradictions and enigmas that cannot be fully grasped; longing for a unifying paradigm' (Cochrane — speculative).","Encounter with the boundary of knowledge.","Prime — meta-systems awareness; the felt limit of every framework (Cochrane).","Sourced (speculative) — Cochrane"
"32","11.25","11° 15' 00""","Duotrigintile","No","2^5","'Inner drives, talents, and motivations' (Cochrane). 2⁵ — Uranian/Cosmobiology 32nd-dial: deep subliminal drive.","Subtle inner urging; deep instinctual motivation.","Maximum doubling (2⁵) — the unconscious cross; subliminal Mars-like push (Cochrane/Uranian).","Sourced — Cochrane/Uranian tradition"
"33","10.909091","10° 54' 33""","Tretrigintile","No","3 × 11","3 × 11: ease (3) channelling Uranian excess (11). Visionary creative facility — unusual ideas arriving with natural grace.","An idea breaks the mold but flows without effort.","Graceful Uranian inspiration; trine of the visionary (Hamblin family rules).","Derived — 3 × 11 family blend"
"34","10.588235","10° 35' 18""","Quattuortrigintile","No","2 × 17","2 × 17: H17's narrative reconfiguration pressure-tested. Dramatic storytelling under tension; theatrical empathy made concrete.","A story-arc gets stress-tested; empathy encounters friction.","Confronted narrative consciousness — H17 doubled and externalized.","Derived — 2 × 17 family blend"
"35","10.285714","10° 17' 09""","Quintrigintile","No","5 × 7","5 × 7: rare convergence of quintile-craft and septile-fate. The inspired craftsman — work that carries destiny in it. Hamblin: 5 and 7 form the most numinous creative combination.","Inspired creative breakthroughs with a destiny-quality.","Fated form-making — the sacred artist's resonance (Hamblin family principle).","Derived (highly suggestive) — 5 × 7 family blend / Hamblin"
"36","10.0","10° 00' 00""","Sextrigintile / Decan","No","2^2 × 3^2","4 × 9 = 6²: integrated joy made manifest in concrete form; mature dharma; Hamblin/Schubert-Weller key signature. Decan boundary (10° = 1/36 of chart).","Completion of a developmental cycle; joyful manifestation.","6² — the squared sextile of joyful exchange; doubled harmony (Astrodienst/Hamblin).","Sourced — Hamblin/Schubert-Weller/Astrodienst"
"37","9.72973","9° 43' 47""","—","Yes","37","Prime H37: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"38","9.473684","9° 28' 25""","—","No","2 × 19","Blend of prime factors: H2 (pressure/polarity) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 19 quality blend activates at tight orb (<0.42°). Active only at near-exact contact.","2 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
